country,city,lon,lat
argentina,buenos aires,-58.3815591,-34.6036844
argentina,oro verde,-60.51904949999999,-31.8239453
argentina,parana,-60.51154709999999,-31.7413197
belgium,antwerp,4.4051485,51.2213404
belgium,brussels,4.3571696,50.8476424
belgium,bruxelles,4.3571696,50.8476424
belgium,dendermonde,4.1020474,51.0254985
belgium,gent,3.7303351,51.0500182
belgium,ghent,3.7303351,51.0500182
belgium,leuven,4.7137645,50.8822871
bulgaria,sofia,23.3218675,42.6977082
canada,montreal,-73.56739189999999,45.5018869
canada,toronto,-79.3831843,43.653226
chile,kulenko cauquenes,-72.32223309999999,-35.967628499999996
chile,la serena,-71.2519374,-29.9026691
chile,santiago,-70.6692655,-33.4488897
chile,talca,-71.6484804,-35.4232444
cuba,havana,-82.3665956,23.1135925
england,london,-0.1275862,51.5072178
france,caen,-0.370679,49.182863
france,grenoble,5.724524,45.188529
france,lyon,4.835659,45.764043
france,marseille,5.36978,43.296482
france,paris,2.3522219,48.856614
france,ternay,4.807576099999999,45.6016077
france,tours,0.68484,47.394144
germany,berlin,13.404954,52.52000659999999
germany,darmstadt,8.6511929,49.8728253
germany,duesseldorf,6.7734556,51.2277411
germany,dusseldorf,6.7734556,51.2277411
germany,frankfurt,8.6821267,50.1109221
germany,frankfurt am main,8.6821267,50.1109221
germany,freiburg,7.842104299999999,47.9990077
germany,giessen,8.678403099999999,50.5840512
germany,heppenheim,8.6675419,49.6430169
germany,kaiserslautern,7.7491265,49.4400657
germany,leipzig,12.3730747,51.3396955
germany,mannheim,8.466039499999999,49.4874592
germany,muenster,7.6261347,51.9606649
germany,munich,11.5819806,48.1351253
germany,oldenburg,8.214552099999999,53.1434501
germany,regensburg,12.1016236,49.0134297
germany,stuttgart,9.1829321,48.7758459
germany,tuebingen,9.0576448,48.5216364
germany,wuerzburg,9.9533548,49.79130439999999
iran,tehran,51.3346954,35.7218583
israel,haifa,34.989571,32.7940463
italy,bologna,11.3426163,44.494887
italy,brescia,10.2118019,45.5415526
italy,como,9.0851765,45.8080597
italy,firenze,11.2558136,43.7695604
italy,genova,8.946256,44.4056499
italy,lecco,9.397670399999999,45.8565698
italy,milan,9.189982,45.464203500000004
italy,milano,9.189982,45.464203500000004
italy,padova,11.8767611,45.4064349
italy,pisa,10.4016888,43.7228386
italy,rome,12.4963655,41.9027835
italy,rovereto,11.0401399,45.89096
italy,turin,7.686864,45.0703393
italy,verona,10.9916215,45.43838419999999
lithuania,vilnius,25.2796514,54.6871555
netherlands,amsterdam,4.9041389,52.3675734
netherlands,groningen,6.566501799999999,53.2193835
netherlands,nijmegen,5.8609313,51.8432807
netherlands,utrecht,5.1214201,52.09073739999999
nijmegen,netherlands,5.8609313,51.8432807
romania,sibiu,24.1449997,45.80347889999999
santiago,chile,-70.6692655,-33.4488897
scotland,dundee,-2.970721,56.462018
scotland,glasgow,-4.2583345,55.86167039999999
serbia,belgrade,20.46123,44.8125449
spain,barcelona,2.168568,41.3873974
spain,granada,-3.5984368,37.1774605
spain,madrid,-3.7037902,40.4167754
spain,san sebasitan,-1.9812313,43.318334
spain,san sebastian,-1.9812313,43.318334
spain,valencia,-0.3762881,39.4699075
the netherlands,nijmegen,5.842828099999999,51.8448837
uk,birmingham,-1.890401,52.48624299999999
uk,bournemouth,-1.8667169,50.7220101
uk,edinburgh,-3.188267,55.953252
uk,glasgow,-4.2583345,55.86167039999999
uk,london,-0.1275862,51.5072178
united kingdom,bournemouth,-1.8667169,50.7220101
united kingdom,london,-0.1275862,51.5072178
united kingdom,stirling,-3.9369029,56.1165227
united states of america,los angeles,-118.242643,34.0549076
usa,boston,-71.0588801,42.3600825
usa,los angeles,-118.242643,34.0549076
